pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Noruega,Norte,24175,2024,43,2024.0,44.0,0.0,0.0,0.1305682521645021,-0.1305682521645021,0.1305682521645021
Noruega,Norte,24175,2024,44,2024.0,45.0,0.0,0.0,0.14276961309523822,-0.14276961309523822,0.14276961309523822
Noruega,Norte,24175,2024,45,2024.0,46.0,0.0,0.0,0.07908929563492062,-0.07908929563492062,0.07908929563492062
Noruega,Norte,24175,2024,46,2024.0,47.0,0.0,0.0,0.07307634920634926,-0.07307634920634926,0.07307634920634926
Noruega,Norte,24175,2024,47,2024.0,48.0,0.0,0.0,0.088870193452381,-0.088870193452381,0.088870193452381
Noruega,Norte,24175,2024,48,2024.0,49.0,0.0,0.04,0.07021031746031758,-0.030210317460317583,0.030210317460317583
Noruega,Norte,24175,2024,49,2024.0,50.0,0.04,0.04,0.10411264880952385,-0.06411264880952386,0.06411264880952386
Noruega,Norte,24175,2024,50,2024.0,51.0,0.04,0.02,0.08099773313492063,-0.06099773313492063,0.06099773313492063
Noruega,Norte,24175,2024,51,2024.0,52.0,0.02,0.17,0.07325094742063488,0.09674905257936513,0.09674905257936513
Noruega,Centro,32677,2023,29,2023.0,30.0,0.0,0.0,0.17841624909812395,-0.17841624909812395,0.17841624909812395
Noruega,Centro,32677,2023,30,2023.0,31.0,0.0,0.0,0.21868907738095245,-0.21868907738095245,0.21868907738095245
Noruega,Centro,32677,2023,31,2023.0,32.0,0.0,0.02,0.15980751488095257,-0.13980751488095258,0.13980751488095258
Noruega,Centro,32677,2023,32,2023.0,33.0,0.02,0.33,0.2229164880952381,0.10708351190476192,0.10708351190476192
Noruega,Centro,32677,2023,33,2023.0,34.0,0.33,2.52,0.4933000595238093,2.026699940476191,2.026699940476191
Noruega,Centro,32677,2023,34,2023.0,35.0,2.52,6.48,2.5562078472222196,3.923792152777781,3.923792152777781
Noruega,Centro,32677,2023,35,2023.0,36.0,6.48,3.4000000000000004,4.948485211489898,-1.548485211489898,1.548485211489898
Noruega,Centro,32677,2023,36,2023.0,37.0,3.4000000000000004,0.42,3.9314192460317456,-3.5114192460317457,3.5114192460317457
Noruega,Centro,32677,2023,37,2023.0,38.0,0.42,0.21,2.599749990530301,-2.389749990530301,2.389749990530301
Noruega,Centro,32677,2023,38,2023.0,39.0,0.21,0.22,2.295896423611111,-2.075896423611111,2.075896423611111
Noruega,Centro,32677,2023,39,2023.0,40.0,0.22,0.43,1.4955541517857147,-1.0655541517857148,1.0655541517857148
Noruega,Centro,32677,2023,40,2023.0,41.0,0.43,0.54,0.678713214285715,-0.13871321428571493,0.13871321428571493
Noruega,Centro,32677,2023,41,2023.0,42.0,0.54,0.94,0.7368606944444446,0.20313930555555537,0.20313930555555537
Noruega,Centro,32677,2023,42,2023.0,43.0,0.94,1.22,1.1620880704365073,0.05791192956349267,0.05791192956349267
Noruega,Centro,32677,2023,43,2023.0,44.0,1.22,1.32,1.5207213244047637,-0.20072132440476365,0.20072132440476365
Noruega,Centro,32677,2023,44,2023.0,45.0,1.32,0.9,1.5276751289682529,-0.6276751289682528,0.6276751289682528
Noruega,Centro,32677,2023,45,2023.0,46.0,0.9,1.07,1.2306963428932156,-0.16069634289321555,0.16069634289321555
Noruega,Centro,32677,2023,46,2023.0,47.0,1.07,1.37,1.2490923351648353,0.1209076648351648,0.1209076648351648
Noruega,Centro,32677,2023,47,2023.0,48.0,1.37,1.26,1.4325996577380946,-0.1725996577380946,0.1725996577380946
Noruega,Centro,32677,2023,48,2023.0,49.0,1.26,1.7799999999999998,1.3824913095238085,0.3975086904761913,0.3975086904761913
Noruega,Centro,32677,2023,49,2023.0,50.0,1.7799999999999998,0.1999999999999999,1.9202197041847031,-1.7202197041847032,1.7202197041847032
Noruega,Centro,32677,2023,50,2023.0,51.0,0.1999999999999999,0.16,0.9657888293650794,-0.8057888293650793,0.8057888293650793
Noruega,Centro,32677,2023,51,2023.0,52.0,0.16,0.1699999999999999,0.7699060682720059,-0.599906068272006,0.599906068272006
Noruega,Centro,32677,2023,52,2024.0,1.0,0.1699999999999999,0.27,0.7455126104797977,-0.47551261047979765,0.47551261047979765
Noruega,Centro,32677,2024,1,2024.0,2.0,0.27,0.4399999999999999,0.41711009920634956,0.02288990079365033,0.02288990079365033
Noruega,Centro,32677,2024,2,2024.0,3.0,0.4399999999999999,0.64,0.5406731994047626,0.09932680059523746,0.09932680059523746
Noruega,Centro,32677,2024,3,2024.0,4.0,0.64,0.6500000000000001,0.6983166765873017,-0.048316676587301544,0.048316676587301544
Noruega,Centro,32677,2024,4,2024.0,5.0,0.6500000000000001,0.88,0.774343194444445,0.10565680555555501,0.10565680555555501
Noruega,Centro,32677,2024,5,2024.0,6.0,0.88,0.75,0.9436821081349209,-0.19368210813492093,0.19368210813492093
Noruega,Centro,32677,2024,6,2024.0,7.0,0.75,0.8200000000000001,0.9062595211038962,-0.08625952110389612,0.08625952110389612
Noruega,Centro,32677,2024,7,2024.0,8.0,0.8200000000000001,1.09,0.9003863216991331,0.18961367830086695,0.18961367830086695
Noruega,Centro,32677,2024,8,2024.0,9.0,1.09,0.7999999999999999,1.1399848214285693,-0.33998482142856934,0.33998482142856934
Noruega,Centro,32677,2024,9,2024.0,10.0,0.7999999999999999,0.0,0.9356973633658003,-0.9356973633658003,0.9356973633658003
Noruega,Centro,32677,2024,10,2024.0,11.0,0.0,0.06,0.6015088244047616,-0.5415088244047617,0.5415088244047617
Noruega,Centro,32677,2024,11,2024.0,12.0,0.06,0.08,0.578500069444444,-0.49850006944444397,0.49850006944444397
Noruega,Centro,32677,2024,12,2024.0,13.0,0.08,0.04,0.49293696518759,-0.45293696518759,0.45293696518759
Noruega,Centro,32677,2024,13,2024.0,14.0,0.04,0.12,0.16911585813492042,-0.04911585813492042,0.04911585813492042
Noruega,Centro,32677,2024,14,2024.0,15.0,0.12,0.18,0.1412644459706958,0.0387355540293042,0.0387355540293042
Noruega,Centro,32677,2024,15,2024.0,16.0,0.18,0.18,0.16256847582972564,0.017431524170274354,0.017431524170274354
Noruega,Centro,32677,2024,16,2024.0,17.0,0.18,0.37,0.1662527317821066,0.2037472682178934,0.2037472682178934
Noruega,Centro,32677,2024,17,2024.0,18.0,0.37,0.8900000000000001,0.4193615674603175,0.4706384325396826,0.4706384325396826
Noruega,Centro,32677,2024,18,2024.0,19.0,0.8900000000000001,1.2000000000000002,0.9859169642857138,0.21408303571428633,0.21408303571428633
Noruega,Centro,32677,2024,19,2024.0,20.0,1.2000000000000002,1.4600000000000002,1.3458015534812415,0.11419844651875866,0.11419844651875866
Noruega,Centro,32677,2024,20,2024.0,21.0,1.4600000000000002,1.29,1.6882016567460325,-0.3982016567460325,0.3982016567460325
Noruega,Centro,32677,2024,21,2024.0,22.0,1.29,0.4899999999999999,1.603240615079366,-1.1132406150793663,1.1132406150793663
Noruega,Centro,32677,2024,22,2024.0,23.0,0.4899999999999999,0.61,0.99723390376984,-0.38723390376984,0.38723390376984
Noruega,Centro,32677,2024,23,2024.0,24.0,0.61,1.27,0.9648978025793653,0.3051021974206347,0.3051021974206347
Noruega,Centro,32677,2024,24,2024.0,25.0,1.27,3.77,1.6691291468253986,2.1008708531746016,2.1008708531746016
Noruega,Centro,32677,2024,25,2024.0,26.0,3.77,2.0900000000000003,3.668522859813797,-1.5785228598137966,1.5785228598137966
Noruega,Centro,32677,2024,26,2024.0,27.0,2.0900000000000003,3.47,2.939619314435567,0.5303806855644333,0.5303806855644333
Noruega,Centro,32677,2024,27,2024.0,28.0,3.47,3.71,3.9259805140692667,-0.21598051406926677,0.21598051406926677
Noruega,Centro,32677,2024,28,2024.0,29.0,3.71,1.14,3.1850862481962423,-2.0450862481962426,2.0450862481962426
Noruega,Centro,32677,2024,29,2024.0,30.0,1.14,3.1300000000000003,3.019919335317455,0.1100806646825454,0.1100806646825454
Noruega,Centro,32677,2024,30,2024.0,31.0,3.1300000000000003,0.45,3.3374765277777807,-2.8874765277777805,2.8874765277777805
Noruega,Centro,32677,2024,31,2024.0,32.0,0.45,2.79,2.1619557481060614,0.6280442518939386,0.6280442518939386
Noruega,Centro,32677,2024,32,2024.0,33.0,2.79,7.890000000000001,3.2267380605158746,4.663261939484126,4.663261939484126
Noruega,Centro,32677,2024,33,2024.0,34.0,7.890000000000001,11.66,5.178927549603176,6.481072450396824,6.481072450396824
Noruega,Centro,32677,2024,34,2024.0,35.0,11.66,1.18,7.470208764880945,-6.290208764880945,6.290208764880945
Noruega,Sur/Oeste,33077,2023,17,2023.0,18.0,0.0,0.2,0.25343812409812405,-0.05343812409812404,0.05343812409812404
Noruega,Sur/Oeste,33077,2023,18,2023.0,19.0,0.2,0.15,0.2743157440476189,-0.12431574404761889,0.12431574404761889
Noruega,Sur/Oeste,33077,2023,19,2023.0,20.0,0.15,0.35,0.2718286755952381,0.07817132440476188,0.07817132440476188
Noruega,Sur/Oeste,33077,2023,20,2023.0,21.0,0.35,0.25,0.6703657638888888,-0.4203657638888888,0.4203657638888888
Noruega,Sur/Oeste,33077,2023,21,2023.0,22.0,0.25,0.1,0.5254648561507931,-0.4254648561507931,0.4254648561507931
Noruega,Sur/Oeste,33077,2023,22,2023.0,23.0,0.1,0.04,0.34420448908730117,-0.3042044890873012,0.3042044890873012
Noruega,Sur/Oeste,33077,2023,23,2023.0,24.0,0.04,0.04,0.2946319421897543,-0.2546319421897543,0.2546319421897543
Noruega,Sur/Oeste,33077,2023,24,2023.0,25.0,0.04,0.05,0.31495579861111084,-0.26495579861111085,0.26495579861111085
Noruega,Sur/Oeste,33077,2023,25,2023.0,26.0,0.05,0.14,0.29765424603174606,-0.15765424603174605,0.15765424603174605
Noruega,Sur/Oeste,33077,2023,26,2023.0,27.0,0.14,0.2,0.31832320707070727,-0.11832320707070726,0.11832320707070726
Noruega,Sur/Oeste,33077,2023,27,2023.0,28.0,0.2,0.21,0.3274872141053394,-0.11748721410533938,0.11748721410533938
Noruega,Sur/Oeste,33077,2023,28,2023.0,29.0,0.21,0.49,0.3198473660714287,0.17015263392857127,0.17015263392857127
Noruega,Sur/Oeste,33077,2023,29,2023.0,30.0,0.49,0.56,0.7279282440476191,-0.16792824404761908,0.16792824404761908
Noruega,Sur/Oeste,33077,2023,30,2023.0,31.0,0.56,1.12,0.7402760069444446,0.3797239930555555,0.3797239930555555
Noruega,Sur/Oeste,33077,2023,31,2023.0,32.0,1.12,1.34,1.7748921180555552,-0.43489211805555517,0.43489211805555517
Noruega,Sur/Oeste,33077,2023,32,2023.0,33.0,1.34,1.78,2.1677794394841294,-0.3877794394841294,0.3877794394841294
Noruega,Sur/Oeste,33077,2023,33,2023.0,34.0,1.78,0.08,2.5015553075396846,-2.4215553075396845,2.4215553075396845
Noruega,Sur/Oeste,33077,2023,34,2023.0,35.0,0.08,1.85,1.3484421825396824,0.5015578174603177,0.5015578174603177
Noruega,Sur/Oeste,33077,2023,35,2023.0,36.0,1.85,3.6,2.5445810565476203,1.0554189434523797,1.0554189434523797
Noruega,Sur/Oeste,33077,2023,36,2023.0,37.0,3.6,0.37,4.043759386724388,-3.673759386724388,3.673759386724388
Noruega,Sur/Oeste,33077,2023,37,2023.0,38.0,0.37,2.32,1.9028722420634936,0.41712775793650625,0.41712775793650625
Noruega,Sur/Oeste,33077,2023,38,2023.0,39.0,2.32,5.44,3.782875257936509,1.6571247420634916,1.6571247420634916
Noruega,Sur/Oeste,33077,2023,39,2023.0,40.0,5.44,5.220000000000001,4.7910308279220795,0.4289691720779212,0.4289691720779212
Noruega,Sur/Oeste,33077,2023,40,2023.0,41.0,5.220000000000001,2.17,3.417662326388886,-1.2476623263888862,1.2476623263888862
Noruega,Sur/Oeste,33077,2023,41,2023.0,42.0,2.17,13.579999999999998,4.938985034722221,8.641014965277776,8.641014965277776
Noruega,Sur/Oeste,33077,2023,42,2023.0,43.0,13.579999999999998,10.19,10.46718630952381,-0.2771863095238096,0.2771863095238096
Noruega,Sur/Oeste,33077,2023,43,2023.0,44.0,10.19,3.2,10.92064187996032,-7.720641879960319,7.720641879960319
Noruega,Sur/Oeste,33077,2023,44,2023.0,45.0,3.2,8.31,8.176848189484122,0.1331518105158782,0.1331518105158782
Noruega,Sur/Oeste,33077,2023,45,2023.0,46.0,8.31,11.28,10.17546711309523,1.104532886904769,1.104532886904769
Noruega,Sur/Oeste,33077,2023,46,2023.0,47.0,11.28,5.720000000000001,9.684598690476179,-3.964598690476178,3.964598690476178
Noruega,Sur/Oeste,33077,2023,47,2023.0,48.0,5.720000000000001,0.75,5.573733010912705,-4.823733010912705,4.823733010912705
Noruega,Sur/Oeste,33077,2023,48,2023.0,49.0,0.75,2.25,3.3778465147005794,-1.1278465147005794,1.1278465147005794
Noruega,Sur/Oeste,33077,2023,49,2023.0,50.0,2.25,4.51,4.825208860028859,-0.31520886002885895,0.31520886002885895
Noruega,Sur/Oeste,33077,2023,50,2023.0,51.0,4.51,5.2700000000000005,9.533865793650804,-4.263865793650804,4.263865793650804
Noruega,Sur/Oeste,33077,2023,51,2023.0,52.0,5.2700000000000005,6.84,5.976261453373014,0.863738546626986,0.863738546626986
Noruega,Sur/Oeste,33077,2023,52,2024.0,1.0,6.84,7.76,6.239565208333339,1.520434791666661,1.520434791666661
Noruega,Sur/Oeste,33077,2024,1,2024.0,2.0,7.76,0.45,7.003242172619043,-6.553242172619043,6.553242172619043
Noruega,Sur/Oeste,33077,2024,2,2024.0,3.0,0.45,1.55,3.3477487306096716,-1.7977487306096716,1.7977487306096716
Noruega,Sur/Oeste,33077,2024,3,2024.0,4.0,1.55,1.86,3.872162926587303,-2.012162926587303,2.012162926587303
Noruega,Sur/Oeste,33077,2024,4,2024.0,5.0,1.86,2.28,4.829285478306415,-2.5492854783064156,2.5492854783064156
Noruega,Sur/Oeste,33077,2024,5,2024.0,6.0,2.28,1.39,2.7437998221917006,-1.3537998221917007,1.3537998221917007
Noruega,Sur/Oeste,33077,2024,6,2024.0,7.0,1.39,3.52,2.1563551396520166,1.3636448603479834,1.3636448603479834
Noruega,Sur/Oeste,33077,2024,7,2024.0,8.0,3.52,3.49,3.536348720238097,-0.046348720238096774,0.046348720238096774
Noruega,Sur/Oeste,33077,2024,8,2024.0,9.0,3.49,0.14,3.367131453823954,-3.227131453823954,3.227131453823954
Noruega,Sur/Oeste,33077,2024,9,2024.0,10.0,0.14,0.6,1.6208405406746036,-1.0208405406746035,1.0208405406746035
Noruega,Sur/Oeste,33077,2024,10,2024.0,11.0,0.6,0.38,1.7265504613095257,-1.3465504613095258,1.3465504613095258
Noruega,Sur/Oeste,33077,2024,11,2024.0,12.0,0.38,0.75,1.3932877484668118,-0.6432877484668118,0.6432877484668118
Noruega,Sur/Oeste,33077,2024,12,2024.0,13.0,0.75,0.62,0.9830988293650799,-0.36309882936507987,0.36309882936507987
Noruega,Sur/Oeste,33077,2024,13,2024.0,14.0,0.62,0.6000000000000001,0.8726406601731594,-0.27264066017315935,0.27264066017315935
Noruega,Sur/Oeste,33077,2024,14,2024.0,15.0,0.6000000000000001,0.7200000000000001,0.7979300450937952,-0.07793004509379509,0.07793004509379509
Noruega,Sur/Oeste,33077,2024,15,2024.0,16.0,0.7200000000000001,0.4599999999999999,0.8917063947510816,-0.4317063947510817,0.4317063947510817
Noruega,Sur/Oeste,33077,2024,16,2024.0,17.0,0.4599999999999999,0.14,0.7182673218795087,-0.5782673218795087,0.5782673218795087
Noruega,Sur/Oeste,33077,2024,17,2024.0,18.0,0.14,0.42,0.5191398759920635,-0.09913987599206348,0.09913987599206348
Noruega,Sur/Oeste,33077,2024,18,2024.0,19.0,0.42,0.64,0.8787846577380938,-0.23878465773809376,0.23878465773809376
Noruega,Sur/Oeste,33077,2024,19,2024.0,20.0,0.64,0.5,0.8110596320346319,-0.31105963203463194,0.31105963203463194
Noruega,Sur/Oeste,33077,2024,20,2024.0,21.0,0.5,0.8200000000000001,0.9405306588203475,-0.12053065882034741,0.12053065882034741
Noruega,Sur/Oeste,33077,2024,21,2024.0,22.0,0.8200000000000001,0.8300000000000001,1.2497970111832604,-0.4197970111832603,0.4197970111832603
Noruega,Sur/Oeste,33077,2024,22,2024.0,23.0,0.8300000000000001,0.67,1.2706346230158752,-0.6006346230158751,0.6006346230158751
Noruega,Sur/Oeste,33077,2024,23,2024.0,24.0,0.67,1.25,1.1588766021825399,0.09112339781746015,0.09112339781746015
Noruega,Sur/Oeste,33077,2024,24,2024.0,25.0,1.25,0.6000000000000001,1.7782061755952399,-1.1782061755952398,1.1782061755952398
Noruega,Sur/Oeste,33077,2024,25,2024.0,26.0,0.6000000000000001,0.68,1.253401349206349,-0.5734013492063489,0.5734013492063489
Noruega,Sur/Oeste,33077,2024,26,2024.0,27.0,0.68,0.68,1.2039510813492054,-0.5239510813492053,0.5239510813492053
Noruega,Sur/Oeste,33077,2024,27,2024.0,28.0,0.68,0.62,1.1832681894841268,-0.5632681894841268,0.5632681894841268
Noruega,Sur/Oeste,33077,2024,28,2024.0,29.0,0.62,0.63,1.0614491021825383,-0.4314491021825383,0.4314491021825383
Noruega,Sur/Oeste,33077,2024,29,2024.0,30.0,0.63,1.13,1.0966880158730163,0.03331198412698355,0.03331198412698355
Noruega,Sur/Oeste,33077,2024,30,2024.0,31.0,1.13,1.55,1.6601674851190469,-0.11016748511904684,0.11016748511904684
Noruega,Sur/Oeste,33077,2024,31,2024.0,32.0,1.55,1.1,2.375299300595238,-1.275299300595238,1.275299300595238
